File,aid,Date,2,3,17,33,49,65,81,97,113,129,145,161,177
QC_Night_2003041_aid0001,aid0001,2003-02-10,786,1649,1.0,,,1112,1940,164.0,57.0,,169.0,1.0,1.0
QC_Night_2003049_aid0001,aid0001,2003-02-18,340,1649,15.0,4.0,,1158,2244,328.0,113.0,,13.0,,2.0
QC_Night_2003057_aid0001,aid0001,2003-02-26,276,1649,21.0,49.0,,1022,2116,354.0,106.0,,161.0,3.0,11.0
QC_Night_2003065_aid0001,aid0001,2003-03-06,36,1649,168.0,35.0,,1019,2611,329.0,2.0,,6.0,,
QC_Night_2003073_aid0001,aid0001,2003-03-14,60,1649,578.0,39.0,2.0,823,1832,67.0,1.0,,506.0,2.0,
QC_Night_2003081_aid0001,aid0001,2003-03-22,53,1649,167.0,,,730,2719,1.0,,,266.0,,
QC_Night_2003089_aid0001,aid0001,2003-03-30,608,1649,746.0,,,694,1671,,,9.0,214.0,,
QC_Night_2003097_aid0001,aid0001,2003-04-07,62,1649,5.0,,,1075,1435,,,,1608.0,,
QC_Night_2003105_aid0001,aid0001,2003-04-15,19,1649,890.0,,,757,1990,,,,250.0,,
QC_Night_2003113_aid0001,aid0001,2003-04-23,48,1649,16.0,,,901,1741,,,,1343.0,,
QC_Night_2003121_aid0001,aid0001,2003-05-01,44,1649,91.0,,,469,2422,,,,617.0,,
QC_Night_2003129_aid0001,aid0001,2003-05-09,346,1649,1.0,,,1091,1174,,,,1604.0,,
QC_Night_2003137_aid0001,aid0001,2003-05-17,49,1649,193.0,,,574,2746,,,,210.0,,
QC_Night_2003145_aid0001,aid0001,2003-05-25,485,1649,15.0,,,860,1173,,,,1608.0,,
QC_Night_2003153_aid0001,aid0001,2003-06-02,297,1649,5.0,,,946,982,,,,1912.0,,
QC_Night_2003161_aid0001,aid0001,2003-06-10,841,1649,,,,973,1079,,,,1308.0,,
QC_Night_2003169_aid0001,aid0001,2003-06-18,30,1649,647.0,,,616,2169,,,6.0,221.0,,
QC_Night_2003177_aid0001,aid0001,2003-06-26,33,1649,1904.0,,,366,1181,,,,,,
QC_Night_2003185_aid0001,aid0001,2003-07-04,20,1649,2175.0,,,430,950,,,,,,
QC_Night_2003193_aid0001,aid0001,2003-07-12,35,1649,512.0,,,708,2478,,,,117.0,,
QC_Night_2003201_aid0001,aid0001,2003-07-20,35,1649,848.0,,,427,2083,,,1.0,57.0,,
QC_Night_2003209_aid0001,aid0001,2003-07-28,639,1649,89.0,,,816,1148,,,,1280.0,,
QC_Night_2003217_aid0001,aid0001,2003-08-05,3843,1649,,,,81,303,,,,,,
QC_Night_2003225_aid0001,aid0001,2003-08-13,17,1649,1707.0,1.0,,87,1428,,,,,,
QC_Night_2003233_aid0001,aid0001,2003-08-21,26,1649,983.0,,,525,2127,,,,4.0,,
QC_Night_2003241_aid0001,aid0001,2003-08-29,3434,1649,,,,367,419,,,,11.0,,
QC_Night_2003249_aid0001,aid0001,2003-09-06,58,1649,11.0,,,933,1043,,,,2106.0,,
QC_Night_2003257_aid0001,aid0001,2003-09-14,124,1649,67.0,,,879,1711,,,,1206.0,,
QC_Night_2003265_aid0001,aid0001,2003-09-22,37,1649,41.0,,,861,1806,,,,1371.0,,
QC_Night_2003273_aid0001,aid0001,2003-09-30,25,1649,95.0,,,864,2712,,,,365.0,,
QC_Night_2003281_aid0001,aid0001,2003-10-08,13,1649,119.0,,,693,2775,,,,249.0,,
QC_Night_2003289_aid0001,aid0001,2003-10-16,55,1649,38.0,,,917,2521,,,,514.0,,
QC_Night_2003297_aid0001,aid0001,2003-10-24,16,1649,183.0,,,897,2685,1.0,,,270.0,,
